country_id,energy_indicator_id,year,indicator_value,data_source
1,1,2016,97.7,WDI
1,2,2016,99.5,WDI
1,3,2016,97.1,WDI
1,4,2000,8.8,WDI
1,4,2016,32.4,WDI
1,5,2000,54.2,WDI
1,5,2015,18.4,WDI
1,6,2000,75.0,WDI
1,6,2015,86.1,WDI
3,1,2000,100.0,WDI
3,1,2016,100.0,WDI
3,2,2016,100.0,WDI
3,3,2016,100.0,WDI
3,4,2000,39.8,WDI
3,4,2016,77.4,WDI
3,5,2000,41.4,WDI
3,5,2015,38.6,WDI
3,6,2000,96.1,WDI
3,6,2015,100.0,WDI
4,1,2016,100.0,WDI
4,2,2016,100.0,WDI
4,3,2016,100.0,WDI
4,4,2000,86.5,WDI
4,4,2016,92.6,WDI
4,5,2000,0.4,WDI
4,5,2015,0.1,WDI
4,6,2000,0.2,WDI
4,6,2015,0.3,WDI
5,5,2000,0.0,WDI
5,5,2015,0.9,WDI
5,6,2000,0.0,WDI
5,6,2015,0.9,WDI
6,1,2000,100.0,WDI
6,1,2016,100.0,WDI
6,2,2016,100.0,WDI
6,3,2016,100.0,WDI
6,4,2000,100.0,WDI
6,4,2016,100.0,WDI
6,5,2000,14.9,WDI
6,5,2015,19.7,WDI
6,6,2000,100.0,WDI
6,6,2015,86.1,WDI
7,1,2000,20.0,WDI
7,1,2016,41.9,WDI
7,2,2016,71.2,WDI
7,3,2016,13.6,WDI
7,4,2000,1.2,WDI
7,4,2016,13.2,WDI
7,5,2000,74.5,WDI
7,5,2015,70.5,WDI
7,6,2000,58.5,WDI
7,6,2015,62.8,WDI
10,1,2000,100.0,WDI
10,1,2016,100.0,WDI
10,2,2016,100.0,WDI
10,3,2016,100.0,WDI
10,4,2000,98.9,WDI
10,4,2016,99.9,WDI
10,5,2000,1.1,WDI
10,5,2015,0.9,WDI
10,6,2000,0.0,WDI
10,6,2015,0.1,WDI
11,1,2000,95.5,WDI
11,1,2016,100.0,WDI
11,2,2016,100.0,WDI
11,3,2016,100.0,WDI
11,4,2000,99.8,WDI
11,4,2016,100.0,WDI
11,5,2000,1.9,WDI
11,5,2015,2.4,WDI
11,6,2000,2.2,WDI
11,6,2015,2.3,WDI
12,1,2000,100.0,WDI
12,1,2016,100.0,WDI
12,2,2016,100.0,WDI
12,3,2016,100.0,WDI
12,4,2000,98.2,WDI
12,4,2016,100.0,WDI
12,5,2000,7.7,WDI
12,5,2015,9.3,WDI
12,6,2000,27.0,WDI
12,6,2015,33.1,WDI
13,1,2000,100.0,WDI
13,1,2016,100.0,WDI
13,2,2016,100.0,WDI
13,3,2016,100.0,WDI
13,4,2000,100.0,WDI
13,4,2016,100.0,WDI
13,5,2000,0.4,WDI
13,5,2015,0.4,WDI
13,6,2000,0.0,WDI
13,6,2015,0.4,WDI
14,1,2000,100.0,WDI
14,1,2016,100.0,WDI
14,2,2016,100.0,WDI
14,3,2016,100.0,WDI
14,4,2000,100.0,WDI
14,4,2016,100.0,WDI
14,5,2000,6.0,WDI
14,5,2015,4.5,WDI
14,6,2000,7.9,WDI
14,6,2015,14.3,WDI
15,1,2000,100.0,WDI
15,1,2016,100.0,WDI
15,2,2016,100.0,WDI
15,3,2016,100.0,WDI
15,4,2000,100.0,WDI
15,4,2016,100.0,WDI
15,5,2000,28.2,WDI
15,5,2015,33.5,WDI
15,6,2000,64.3,WDI
15,6,2015,69.5,WDI
16,1,2000,100.0,WDI
16,1,2016,100.0,WDI
16,2,2016,100.0,WDI
16,3,2016,100.0,WDI
16,4,2000,100.0,WDI
16,4,2016,100.0,WDI
16,5,2000,1.3,WDI
16,5,2015,0.9,WDI
16,6,2015,0.3,WDI
17,1,2000,100.0,WDI
17,1,2016,100.0,WDI
17,2,2016,100.0,WDI
17,3,2016,100.0,WDI
17,4,2000,100.0,WDI
17,4,2016,100.0,WDI
17,5,2000,0.2,WDI
17,5,2015,0.4,WDI
17,6,2000,0.0,WDI
17,6,2015,0.1,WDI
18,1,2000,100.0,WDI
18,1,2016,100.0,WDI
18,2,2016,100.0,WDI
18,3,2016,100.0,WDI
18,4,2000,100.0,WDI
18,4,2016,100.0,WDI
18,5,2000,0.0,WDI
18,5,2015,0.0,WDI
18,6,2000,0.0,WDI
18,6,2015,0.0,WDI
19,1,2000,32.0,WDI
19,1,2016,75.9,WDI
19,2,2016,92.4,WDI
19,3,2016,68.4,WDI
19,4,2000,12.7,WDI
19,4,2016,14.0,WDI
19,5,2000,35.3,WDI
19,5,2015,27.9,WDI
19,6,2000,0.3,WDI
19,6,2015,1.9,WDI
20,1,2000,100.0,WDI
20,1,2016,100.0,WDI
20,2,2016,100.0,WDI
20,3,2016,100.0,WDI
20,4,2000,100.0,WDI
20,4,2016,100.0,WDI
20,5,2000,0.6,WDI
20,5,2015,0.5,WDI
20,6,2000,0.0,WDI
20,6,2015,0.0,WDI
21,1,2000,100.0,WDI
21,1,2016,100.0,WDI
21,2,2016,100.0,WDI
21,3,2016,100.0,WDI
21,4,2000,99.6,WDI
21,4,2016,100.0,WDI
21,5,2000,3.6,WDI
21,5,2015,5.8,WDI
21,6,2000,1.3,WDI
21,6,2015,3.8,WDI
22,1,2000,100.0,WDI
22,1,2016,100.0,WDI
22,2,2016,100.0,WDI
22,3,2016,100.0,WDI
22,4,2000,100.0,WDI
22,4,2016,100.0,WDI
22,5,2000,2.1,WDI
22,5,2015,4.5,WDI
22,6,2015,15.1,WDI
23,1,2000,87.6,WDI
23,1,2016,100.0,WDI
23,2,2016,100.0,WDI
23,3,2016,100.0,WDI
23,4,2000,74.7,WDI
23,4,2016,90.4,WDI
23,5,2000,32.2,WDI
23,5,2015,34.8,WDI
23,6,2000,92.0,WDI
23,6,2015,97.8,WDI
24,1,2000,14.0,WDI
24,1,2016,35.4,WDI
24,2,2016,70.1,WDI
24,3,2016,10.6,WDI
24,4,2000,2.1,WDI
24,4,2016,10.9,WDI
24,5,2000,64.8,WDI
24,5,2015,61.7,WDI
24,6,2000,97.0,WDI
24,6,2015,97.9,WDI
25,1,2000,100.0,WDI
25,1,2016,100.0,WDI
25,2,2016,100.0,WDI
25,3,2016,100.0,WDI
25,4,2000,100.0,WDI
25,4,2016,100.0,WDI
25,5,2000,0.1,WDI
25,5,2015,0.1,WDI
25,6,2000,0.0,WDI
25,6,2015,0.0,WDI
26,1,2000,84.0,WDI
26,1,2016,99.9,WDI
26,2,2016,100.0,WDI
26,3,2016,99.9,WDI
26,4,2000,98.3,WDI
26,4,2016,100.0,WDI
26,5,2000,81.4,WDI
26,5,2015,78.9,WDI
26,6,2000,100.0,WDI
26,6,2015,100.0,WDI
27,1,2000,72.0,WDI
27,1,2016,93.4,WDI
27,2,2016,99.5,WDI
27,3,2016,85.2,WDI
27,4,2000,46.7,WDI
27,4,2016,69.2,WDI
27,5,2000,26.7,WDI
27,5,2015,29.9,WDI
27,6,2000,62.8,WDI
27,6,2015,77.4,WDI
29,1,2000,100.0,WDI
29,1,2016,100.0,WDI
29,2,2016,100.0,WDI
29,3,2016,100.0,WDI
29,4,2000,84.4,WDI
29,4,2016,97.7,WDI
29,5,2000,18.0,WDI
29,5,2015,19.0,WDI
29,6,2000,45.4,WDI
29,6,2015,49.2,WDI
30,1,2000,46.6,WDI
30,1,2016,54.6,WDI
30,2,2016,90.4,WDI
30,3,2016,20.5,WDI
30,4,2000,74.8,WDI
30,4,2016,90.0,WDI
30,5,2000,40.1,WDI
30,5,2015,38.6,WDI
30,6,2000,0.0,WDI
30,6,2015,0.0,WDI
32,1,2000,94.9,WDI
32,1,2016,99.7,WDI
32,2,2016,99.9,WDI
32,3,2016,98.6,WDI
32,4,2000,99.1,WDI
32,4,2016,100.0,WDI
32,5,2000,43.2,WDI
32,5,2015,44.2,WDI
32,6,2000,85.8,WDI
32,6,2015,80.7,WDI
243,1,2000,100.0,WDI
243,1,2016,100.0,WDI
243,2,2016,100.0,WDI
243,3,2016,100.0,WDI
243,4,2000,100.0,WDI
243,4,2016,100.0,WDI
243,5,2000,0.2,WDI
243,5,2015,0.2,WDI
243,6,2000,0.0,WDI
243,6,2015,0.0,WDI
34,1,2000,100.0,WDI
34,1,2016,100.0,WDI
34,2,2016,100.0,WDI
34,3,2016,100.0,WDI
34,4,2000,100.0,WDI
34,4,2016,100.0,WDI
34,5,2000,0.1,WDI
34,5,2015,0.0,WDI
34,6,2000,0.0,WDI
34,6,2015,0.0,WDI
35,1,2000,100.0,WDI
35,1,2016,100.0,WDI
35,2,2016,100.0,WDI
35,3,2016,100.0,WDI
35,4,2000,98.6,WDI
35,4,2016,100.0,WDI
35,5,2000,12.5,WDI
35,5,2015,18.8,WDI
35,6,2000,12.7,WDI
35,6,2015,18.6,WDI
36,1,2000,11.5,WDI
36,1,2016,18.0,WDI
36,2,2016,48.2,WDI
36,3,2016,3.3,WDI
36,4,2000,2.4,WDI
36,4,2016,8.5,WDI
36,5,2000,84.6,WDI
36,5,2015,83.9,WDI
36,6,2000,78.0,WDI
36,6,2015,75.0,WDI
37,1,2000,3.0,WDI
37,1,2016,9.4,WDI
37,2,2016,38.5,WDI
37,3,2016,3.3,WDI
37,4,2000,0.2,WDI
37,4,2016,0.7,WDI
37,5,2000,93.3,WDI
37,5,2015,92.5,WDI
37,6,2015,97.7,WDI
38,1,2000,65.0,WDI
38,1,2016,95.5,WDI
38,2,2016,99.9,WDI
38,3,2016,92.2,WDI
38,4,2000,60.8,WDI
38,4,2016,91.2,WDI
38,5,2000,3.3,WDI
38,5,2015,4.6,WDI
38,6,2000,0.1,WDI
38,6,2015,2.5,WDI
39,1,2000,16.0,WDI
39,1,2016,91.8,WDI
39,2,2016,99.4,WDI
39,3,2016,89.1,WDI
39,4,2000,6.5,WDI
39,4,2016,13.4,WDI
39,5,2000,69.4,WDI
39,5,2015,68.4,WDI
39,6,2000,3.7,WDI
39,6,2015,35.7,WDI
40,1,2000,47.5,WDI
40,1,2016,58.0,WDI
40,2,2016,89.2,WDI
40,3,2016,32.7,WDI
40,4,2000,9.3,WDI
40,4,2016,15.2,WDI
40,5,2000,56.7,WDI
40,5,2015,56.5,WDI
40,6,2000,87.4,WDI
40,6,2015,87.7,WDI
41,1,2000,100.0,WDI
41,1,2016,100.0,WDI
41,2,2016,100.0,WDI
41,3,2016,100.0,WDI
41,4,2000,100.0,WDI
41,4,2016,100.0,WDI
41,5,2000,16.5,WDI
41,5,2015,17.4,WDI
41,6,2000,61.9,WDI
41,6,2015,65.8,WDI
42,1,2000,100.0,WDI
42,1,2016,100.0,WDI
42,2,2016,100.0,WDI
42,3,2016,100.0,WDI
42,4,2000,100.0,WDI
42,4,2016,100.0,WDI
42,5,2000,0.1,WDI
42,5,2015,0.1,WDI
42,6,2000,0.0,WDI
42,6,2015,0.0,WDI
43,1,2000,18.5,WDI
43,1,2016,28.8,WDI
43,2,2016,61.5,WDI
43,3,2016,16.9,WDI
43,4,2000,1.4,WDI
43,4,2016,3.4,WDI
43,5,2000,90.1,WDI
43,5,2015,88.4,WDI
43,6,2000,85.0,WDI
43,6,2015,91.4,WDI
44,1,2000,6.3,WDI
44,1,2016,9.8,WDI
44,2,2016,25.6,WDI
44,3,2016,2.2,WDI
44,4,2000,0.8,WDI
44,4,2016,3.2,WDI
44,5,2000,87.4,WDI
44,5,2015,86.0,WDI
44,6,2000,100.0,WDI
44,6,2015,98.2,WDI
45,1,2000,98.4,WDI
45,1,2016,100.0,WDI
45,2,2016,100.0,WDI
45,3,2016,100.0,WDI
45,4,2000,99.9,WDI
45,4,2016,100.0,WDI
45,5,2000,15.3,WDI
45,5,2015,21.7,WDI
45,6,2000,33.2,WDI
45,6,2015,42.0,WDI
46,1,2000,97.6,WDI
46,1,2016,99.7,WDI
46,2,2016,99.9,WDI
46,3,2016,99.5,WDI
46,4,2000,41.9,WDI
46,4,2016,64.2,WDI
46,5,2000,4.8,WDI
46,5,2015,12.4,WDI
46,6,2000,18.8,WDI
46,6,2015,26.4,WDI
49,1,2000,94.6,WDI
49,1,2016,99.6,WDI
49,2,2016,99.9,WDI
49,3,2016,98.8,WDI
49,4,2000,95.9,WDI
49,4,2016,98.4,WDI
49,5,2000,26.2,WDI
49,5,2015,27.1,WDI
49,6,2000,72.4,WDI
49,6,2015,68.9,WDI
50,1,2000,39.0,WDI
50,1,2016,72.1,WDI
50,2,2016,95.1,WDI
50,3,2016,57.1,WDI
50,4,2000,5.2,WDI
50,4,2016,16.2,WDI
50,5,2000,90.0,WDI
50,5,2015,83.4,WDI
50,6,2000,97.0,WDI
50,6,2015,97.1,WDI
51,1,2000,25.0,WDI
51,1,2016,35.1,WDI
51,2,2016,62.8,WDI
51,3,2016,14.6,WDI
51,4,2000,6.3,WDI
51,4,2016,16.2,WDI
51,5,2000,67.5,WDI
51,5,2015,60.8,WDI
51,6,2000,99.7,WDI
51,6,2015,98.1,WDI
53,1,2000,99.9,WDI
53,1,2016,100.0,WDI
53,2,2016,100.0,WDI
53,3,2016,100.0,WDI
53,5,2000,0.2,WDI
53,6,2000,0.0,WDI
53,6,2015,0.0,WDI
54,1,2000,98.6,WDI
54,1,2016,99.3,WDI
54,2,2016,99.7,WDI
54,3,2016,98.7,WDI
54,4,2000,99.0,WDI
54,4,2016,99.8,WDI
54,5,2000,27.4,WDI
54,5,2015,26.5,WDI
54,6,2000,96.5,WDI
54,6,2015,98.4,WDI
55,1,2000,44.9,WDI
55,1,2016,81.7,WDI
55,2,2016,97.9,WDI
55,3,2016,64.8,WDI
55,4,2000,17.2,WDI
55,4,2016,35.3,WDI
55,5,2000,46.9,WDI
55,5,2015,46.1,WDI
55,6,2000,38.8,WDI
55,6,2015,40.1,WDI
56,1,2000,100.0,WDI
56,1,2016,100.0,WDI
56,2,2016,100.0,WDI
56,3,2016,100.0,WDI
56,4,2000,99.1,WDI
56,4,2016,100.0,WDI
56,5,2000,14.7,WDI
56,5,2015,23.5,WDI
56,6,2000,46.8,WDI
56,6,2015,55.4,WDI
57,1,2000,97.0,WDI
57,1,2016,99.9,WDI
57,2,2016,100.0,WDI
57,3,2016,99.8,WDI
57,4,2000,99.1,WDI
57,4,2016,100.0,WDI
57,5,2000,2.1,WDI
57,5,2015,4.7,WDI
57,6,2000,7.1,WDI
57,6,2015,7.2,WDI
58,1,2000,100.0,WDI
58,1,2016,100.0,WDI
58,2,2016,100.0,WDI
58,3,2016,100.0,WDI
58,4,2000,100.0,WDI
58,4,2016,100.0,WDI
58,5,2000,0.3,WDI
58,5,2015,0.3,WDI
58,6,2000,0.0,WDI
58,6,2015,0.0,WDI
59,1,2000,100.0,WDI
59,1,2016,100.0,WDI
59,2,2016,100.0,WDI
59,3,2016,100.0,WDI
59,4,2000,100.0,WDI
59,4,2016,100.0,WDI
59,5,2000,2.0,WDI
59,5,2015,9.3,WDI
59,6,2000,1.7,WDI
59,6,2015,7.6,WDI
60,1,2000,100.0,WDI
60,1,2016,100.0,WDI
60,2,2016,100.0,WDI
60,3,2016,100.0,WDI
60,4,2000,100.0,WDI
60,4,2016,100.0,WDI
60,5,2000,4.0,WDI
60,5,2015,13.0,WDI
60,6,2000,7.5,WDI
60,6,2015,14.2,WDI
61,1,2000,100.0,WDI
61,1,2016,100.0,WDI
61,2,2016,100.0,WDI
61,3,2016,100.0,WDI
61,4,2000,100.0,WDI
61,4,2016,100.0,WDI
61,5,2000,12.5,WDI
61,5,2015,32.3,WDI
61,6,2000,17.4,WDI
61,6,2015,59.3,WDI
62,1,2000,32.0,WDI
62,1,2016,71.7,WDI
62,2,2016,90.6,WDI
62,3,2016,26.8,WDI
62,4,2000,1.6,WDI
62,4,2016,4.6,WDI
62,5,2000,73.1,WDI
62,5,2015,46.7,WDI
62,6,2000,0.0,WDI
62,6,2015,0.0,WDI
63,1,2000,98.5,WDI
63,1,2016,100.0,WDI
63,2,2016,100.0,WDI
63,3,2016,100.0,WDI
63,4,2000,98.5,WDI
63,4,2016,100.0,WDI
63,5,2000,53.2,WDI
63,5,2015,56.7,WDI
63,6,2000,85.1,WDI
63,6,2015,89.5,WDI
64,1,2000,87.6,WDI
64,1,2016,98.4,WDI
64,2,2016,99.7,WDI
64,3,2016,97.1,WDI
64,4,2000,97.1,WDI
64,4,2016,99.6,WDI
64,5,2000,9.2,WDI
64,5,2015,11.5,WDI
64,6,2000,4.9,WDI
64,6,2015,9.4,WDI
65,1,2000,91.8,WDI
65,1,2016,98.3,WDI
65,2,2016,99.8,WDI
65,3,2016,94.6,WDI
65,4,2000,93.4,WDI
65,4,2016,98.9,WDI
65,5,2000,25.8,WDI
65,5,2015,27.6,WDI
65,6,2000,61.9,WDI
65,6,2015,63.1,WDI
66,1,2000,98.5,WDI
66,1,2016,100.0,WDI
66,2,2016,100.0,WDI
66,3,2016,100.0,WDI
66,4,2000,99.9,WDI
66,4,2016,100.0,WDI
66,5,2000,0.6,WDI
66,5,2015,0.4,WDI
66,6,2000,1.4,WDI
66,6,2015,5.8,WDI
67,1,2000,80.1,WDI
67,1,2016,98.0,WDI
67,2,2016,99.7,WDI
67,3,2016,94.8,WDI
67,4,2000,63.2,WDI
67,4,2016,96.6,WDI
68,1,2000,27.7,WDI
68,1,2016,63.8,WDI
68,2,2016,90.8,WDI
68,3,2016,29.9,WDI
68,4,2000,3.7,WDI
68,4,2016,18.9,WDI
68,5,2000,31.4,WDI
68,5,2015,18.6,WDI
68,6,2000,18.6,WDI
68,6,2015,22.2,WDI
69,1,2000,17.6,WDI
69,1,2016,30.3,WDI
69,2,2016,70.9,WDI
69,4,2000,3.3,WDI
69,5,2000,84.7,WDI
70,1,2000,100.0,WDI
70,1,2016,100.0,WDI
70,2,2016,100.0,WDI
70,3,2016,100.0,WDI
70,4,2000,100.0,WDI
70,4,2016,100.0,WDI
70,5,2000,13.6,WDI
70,5,2015,28.6,WDI
70,6,2000,0.3,WDI
70,6,2015,17.7,WDI
72,1,2016,41.9,WDI
72,2,2016,89.5,WDI
72,3,2016,23.6,WDI
72,4,2000,0.6,WDI
72,4,2016,3.6,WDI
72,5,2000,89.4,WDI
72,5,2015,91.7,WDI
72,6,2000,93.9,WDI
72,6,2015,99.8,WDI
75,1,2000,97.0,WDI
75,1,2016,99.0,WDI
75,2,2016,99.9,WDI
75,3,2016,98.3,WDI
75,4,2000,98.5,WDI
75,4,2016,99.2,WDI
75,5,2000,12.2,WDI
75,5,2015,12.1,WDI
75,6,2000,3.0,WDI
75,6,2015,10.6,WDI
76,1,2000,100.0,WDI
76,1,2016,100.0,WDI
76,2,2016,100.0,WDI
76,3,2016,100.0,WDI
76,4,2000,100.0,WDI
76,4,2016,100.0,WDI
76,5,2000,27.9,WDI
76,5,2015,38.7,WDI
76,6,2000,22.5,WDI
76,6,2015,43.2,WDI
77,1,2000,100.0,WDI
